x;y;CONVG2
490628;3125723;116,1529999
490658;3125723;122,6794968
490688;3125723;108,0804977
490718;3125723;84,82099915
490748;3125723;68,48509979
490778;3125723;60,77819824
490808;3125723;61,94649887
490838;3125723;63,97589874
490868;3125723;51,53559875
490898;3125723;43,0685997
490928;3125723;48,29570007
490958;3125723;70,36090088
490988;3125723;91,74410248
491018;3125723;97,64610291
491048;3125723;102,8283997
491078;3125723;110,8421021
491108;3125723;111,5384979
491138;3125723;95,77539825
491168;3125723;77,29720306
491198;3125723;77,68789673
491228;3125723;94,63030243
491258;3125723;106,8555984
491288;3125723;101,6988983
491318;3125723;84,83740234
491348;3125723;71,99440002
491378;3125723;66,7303009
491408;3125723;60,46390152
491438;3125723;62,05799866
491468;3125723;78,42939758
491498;3125723;103,7453003
491528;3125723;113,7828979
491558;3125723;93,43560028
491588;3125723;57,63299942
491618;3125723;48,26440048
491648;3125723;71,58920288
491678;3125723;105,4676971
491708;3125723;123,8722992
491738;3125723;123,7468033
491768;3125723;94,89289856
491798;3125723;61,10359955
491828;3125723;63,77640152
491858;3125723;87,68409729
491888;3125723;100,1256027
491918;3125723;90,26399994
491948;3125723;54,91650009
491978;3125723;23,0678997
492008;3125723;18,62759972
492038;3125723;25,30559921
492068;3125723;41,81710052
492098;3125723;61,30920029
492128;3125723;78,86170197
492158;3125723;99,32969666
492188;3125723;119,8248978
492218;3125723;127,7774963
492248;3125723;117,4149017
492278;3125723;93,32610321
492308;3125723;79,59349823
492338;3125723;81,98609924
492368;3125723;84,62809753
492398;3125723;83,22200012
492428;3125723;81,66269684
492458;3125723;87,19960022
492488;3125723;92,59600067
492518;3125723;94,36789703
492548;3125723;88,94950104
492578;3125723;83,63339996
492608;3125723;78,86239624
492638;3125723;83,126297
492668;3125723;97,3391037
492698;3125723;129,0552063
492728;3125723;154,4559021
492758;3125723;152,053894
492788;3125723;117,3211975
492818;3125723;77,98560333
492848;3125723;58,03039932
492878;3125723;48,1473999
492908;3125723;44,39979935
492938;3125723;54,93220139
492968;3125723;86,23989868
492998;3125723;112,0886002
493028;3125723;122,2895966
493058;3125723;115,0597992
493088;3125723;101,7472992
493118;3125723;88,18740082
493148;3125723;72,43560028
493178;3125723;57,31900024
493208;3125723;50,16859818
493238;3125723;59,24010086
493268;3125723;86,12599945
493298;3125723;113,6417999
493328;3125723;131,486496
493358;3125723;128,5879974
493388;3125723;105,1552963
493418;3125723;81,01049805
493448;3125723;70,89849854
493478;3125723;58,18870163
493508;3125723;40,89239883
493538;3125723;29,15940094
493568;3125723;46,65769958
493598;3125723;77,2947998
493628;3125723;97,44200134
493658;3125723;97,56860352
493688;3125723;76,53240204
493718;3125723;50,60969925
493748;3125723;37,62279892
493778;3125723;38,87379837
493808;3125723;47,2845993
493838;3125723;55,59609985
493868;3125723;64,10540009
493898;3125723;64,126297
493928;3125723;64,27140045
493958;3125723;59,84999847
490058;3125693;91,44249725
490088;3125693;121,5491028
490118;3125693;124,7711029
490148;3125693;96,79730225
490178;3125693;63,63270187
490208;3125693;43,02719879
490238;3125693;48,58720016
490268;3125693;65,6556015
490298;3125693;90,20670319
490328;3125693;110,7245026
490358;3125693;117,2522964
490388;3125693;119,2362976
490418;3125693;124,7578964
490448;3125693;128,8148041
490478;3125693;123,0376968
490508;3125693;102,8684006
490538;3125693;82,16280365
490568;3125693;74,08609772
490598;3125693;85,6230011
490628;3125693;112,7642975
490658;3125693;123,7591019
490688;3125693;112,343399
490718;3125693;89,92340088
490748;3125693;67,93309784
490778;3125693;53,6012001
490808;3125693;42,09859848
490838;3125693;37,18239975
490868;3125693;36
490898;3125693;35,22040176
490928;3125693;48,91180038
490958;3125693;66,18070221
